Generation,fitness,metabolic_error,amount_of_dna,nb_coding_rnas,nb_non_coding_rnas,nb_functional_genes,nb_non_functional_genes,nb_mut,nb_switch
66,6.52587e-64,0.145758,4096,1.99707,6.08301,1.99707,0,0.0410156,0.0410156
67,7.21211e-64,0.145457,4096,1.99805,6.1084,1.99805,0,0.0322266,0.0322266
68,7.42683e-64,0.145364,4096,1.99902,6.11426,1.99902,0,0.0380859,0.0380859
69,7.44069e-64,0.145358,4096,1.99805,6.11328,1.99805,0,0.0478516,0.0478516
70,7.43343e-64,0.145365,4096,2,6.1084,1.99902,0.000976562,0.0439453,0.0439453
71,7.42936e-64,0.145363,4096,2,6.09668,2,0,0.0341797,0.0341797
72,7.43637e-64,0.145359,4096,2.00098,6.1123,2,0.000976562,0.0341797,0.0341797
73,7.42185e-64,0.145373,4096,1.99902,6.11719,1.99805,0.000976562,0.0449219,0.0449219
74,7.43376e-64,0.145361,4096,2,6.11816,1.99902,0.000976562,0.0361328,0.0361328
75,7.44069e-64,0.145358,4096,2.00098,6.13184,2,0.000976562,0.0351562,0.0351562
76,7.41891e-64,0.145379,4096,1.99707,6.14551,1.99512,0.00195312,0.0400391,0.0400391
77,7.44069e-64,0.145358,4096,2.00098,6.13672,1.99902,0.00195312,0.0439453,0.0439453
78,7.4199e-64,0.145367,4096,2,6.14062,1.99805,0.00195312,0.0419922,0.0419922
79,7.44069e-64,0.145358,4096,1.99902,6.13867,1.99707,0.00195312,0.0439453,0.0439453
80,7.44069e-64,0.145358,4096,1.99902,6.14062,1.99902,0,0.0283203,0.0283203
81,7.44069e-64,0.145358,4096,1.99902,6.13965,1.99902,0,0.0361328,0.0361328
82,7.44069e-64,0.145358,4096,1.99805,6.14648,1.99805,0,0.0351562,0.0351562
83,7.42847e-64,0.145367,4096,1.99805,6.15039,1.99805,0,0.0478516,0.0478516
84,7.42154e-64,0.14537,4096,1.99805,6.16797,1.99805,0,0.0449219,0.0449219
85,7.44069e-64,0.145358,4096,1.99707,6.15918,1.99707,0,0.0517578,0.0517578
86,7.44069e-64,0.145358,4096,1.99707,6.16895,1.99707,0,0.0380859,0.0380859
87,7.43573e-64,0.14536,4096,1.99609,6.18164,1.99609,0,0.0498047,0.0498047
88,7.4235e-64,0.145371,4096,1.99805,6.16602,1.99805,0,0.0371094,0.0371094
89,7.44069e-64,0.145358,4096,1.99707,6.18066,1.99707,0,0.0439453,0.0439453
90,7.43395e-64,0.145361,4096,1.99512,6.18555,1.99512,0,0.0400391,0.0400391
91,7.44069e-64,0.145358,4096,1.99707,6.20117,1.99707,0,0.0478516,0.0478516
92,7.47289e-64,0.145364,4096,1.99707,6.21387,1.99707,0,0.0429688,0.0429688
93,7.58629e-64,0.145365,4096,1.99902,6.21484,1.99902,0,0.0380859,0.0380859
94,7.93944e-64,0.145353,4096,1.99902,6.21387,1.99902,0,0.0371094,0.0371094
95,8.42713e-64,0.145313,4096,1.99805,6.20898,1.99805,0,0.0371094,0.0371094
96,9.13737e-64,0.14528,4096,1.99805,6.20703,1.99805,0,0.0410156,0.0410156
97,9.84761e-64,0.145248,4096,1.99512,6.19824,1.99512,0,0.0488281,0.0488281
98,1.09846e-63,0.145202,4096,1.99707,6.2041,1.99707,0,0.0332031,0.0332031
99,1.25961e-63,0.145126,4096,1.99609,6.18848,1.99609,0,0.046875,0.046875
100,1.41485e-63,0.14505,4096,1.99609,6.18066,1.99609,0,0.0371094,0.0371094
101,1.62003e-63,0.144955,4096,1.99805,6.15527,1.99805,0,0.0361328,0.0361328
102,1.80887e-63,0.144869,4096,1.99805,6.15039,1.99805,0,0.0302734,0.0302734
103,2.04956e-63,0.144758,4096,1.99609,6.1377,1.99609,0,0.0488281,0.0488281
104,2.35322e-63,0.144624,4096,1.99023,6.11719,1.99023,0,0.0488281,0.0488281
105,2.66102e-63,0.144478,4096,1.99414,6.10059,1.99414,0,0.0380859,0.0380859
106,3.03092e-63,0.144319,4096,1.99414,6.10059,1.99414,0,0.0488281,0.0488281
107,3.36211e-63,0.144173,4096,1.99707,6.08301,1.99609,0.000976562,0.0371094,0.0371094
108,3.76208e-63,0.143969,4096,2,6.06152,1.99902,0.000976562,0.03125,0.03125
109,4.10981e-63,0.143808,4096,2.00195,6.04199,2,0.00195312,0.0380859,0.0380859
110,4.41363e-63,0.143668,4096,2.00098,6.01855,2,0.000976562,0.0400391,0.0400391
111,4.57935e-63,0.143592,4096,2.00098,6.00879,2,0.000976562,0.0429688,0.0429688
112,4.69773e-63,0.143537,4096,2.00195,6.00879,2,0.00195312,0.0322266,0.0322266
113,4.76086e-63,0.143508,4096,2.00195,6.00977,2,0.00195312,0.0507812,0.0507812
114,4.76875e-63,0.143505,4096,2.00098,6.00977,2,0.000976562,0.0488281,0.0488281
115,4.78059e-63,0.143499,4096,2.00098,6.0127,2,0.000976562,0.0380859,0.0380859
116,4.77553e-63,0.143504,4096,2.00391,6.0166,2,0.00390625,0.0361328,0.0361328
117,4.78453e-63,0.143497,4096,2.00293,6.01172,2,0.00292969,0.0507812,0.0507812
118,4.78453e-63,0.143497,4096,2.00293,6.01855,2,0.00292969,0.0439453,0.0439453
119,4.78453e-63,0.143497,4096,2.00684,6.0127,2,0.00683594,0.0410156,0.0410156
120,4.77986e-63,0.143506,4096,2.00684,6.01562,1.99805,0.00878906,0.0361328,0.0361328
121,4.77536e-63,0.143509,4096,2.00977,6.01953,1.99805,0.0117188,0.0292969,0.0292969
122,4.78453e-63,0.143497,4096,2.00977,6.01758,1.99707,0.0126953,0.0322266,0.0322266
123,4.78453e-63,0.143497,4096,2.00684,6.01953,1.99316,0.0136719,0.0410156,0.0410156
124,4.77519e-63,0.143515,4096,2.00586,6.02246,1.99121,0.0146484,0.0449219,0.0449219
125,4.78453e-63,0.143497,4096,2.00977,6.03125,1.99219,0.0175781,0.0380859,0.0380859
126,4.78003e-63,0.143501,4096,2.00195,6.03223,1.98828,0.0136719,0.0410156,0.0410156
127,4.78453e-63,0.143497,4096,1.99902,6.03711,1.98633,0.0126953,0.0429688,0.0429688
128,4.78453e-63,0.143497,4096,2.00391,6.03516,1.9873,0.0166016,0.0429688,0.0429688
129,4.78453e-63,0.143497,4096,2.00977,6.03516,1.99219,0.0175781,0.0488281,0.0488281
130,4.78453e-63,0.143497,4096,2.01172,6.03516,1.99414,0.0175781,0.0498047,0.0498047
131,4.78453e-63,0.143497,4096,2.01074,6.03613,1.99414,0.0166016,0.0410156,0.0410156
132,4.78003e-63,0.143501,4096,2.01465,6.04102,1.99707,0.0175781,0.046875,0.046875
133,4.78453e-63,0.143497,4096,2.0127,6.04199,1.99707,0.015625,0.0419922,0.0419922
134,4.78453e-63,0.143497,4096,2.01562,6.05273,1.99902,0.0166016,0.0380859,0.0380859
135,4.78453e-63,0.143497,4096,2.0127,6.05859,1.99902,0.0136719,0.0322266,0.0322266
136,4.77986e-63,0.143506,4096,2.00391,6.06738,1.99707,0.00683594,0.0361328,0.0361328
137,4.77986e-63,0.143506,4096,2.00293,6.06641,1.99512,0.0078125,0.0400391,0.0400391
138,4.78453e-63,0.143497,4096,2.00488,6.07129,1.99707,0.0078125,0.0361328,0.0361328
139,4.95622e-63,0.143506,4096,2.00391,6.07617,1.99609,0.0078125,0.0458984,0.0458984
140,6.22675e-63,0.143477,4096,2.00684,6.06445,1.99414,0.0126953,0.0390625,0.0390625
141,9.12518e-63,0.143411,4096,2.00781,6.07227,1.99414,0.0136719,0.0410156,0.0410156
142,1.27379e-62,0.143343,4096,2.01172,6.06934,1.99512,0.0166016,0.0449219,0.0449219
143,1.83446e-62,0.143231,4096,2.0127,6.06543,1.99121,0.0214844,0.0361328,0.0361328
144,2.46792e-62,0.143102,4096,2.00879,6.04297,1.99023,0.0185547,0.0449219,0.0449219
145,3.29941e-62,0.142942,4096,2.00391,6.03906,1.99121,0.0126953,0.0380859,0.0380859
146,4.25844e-62,0.142746,4096,2.00586,6.0332,1.99414,0.0117188,0.03125,0.03125
147,5.39786e-62,0.14252,4096,2.00293,6.01562,1.99121,0.0117188,0.0439453,0.0439453
148,6.66388e-62,0.142268,4096,1.99805,6,1.98828,0.00976562,0.0380859,0.0380859
149,8.03842e-62,0.141995,4096,1.99707,5.97852,1.98828,0.00878906,0.0410156,0.0410156
150,9.59335e-62,0.141694,4096,1.99902,5.95996,1.99414,0.00488281,0.0546875,0.0546875
151,1.12392e-61,0.141373,4096,1.99805,5.93945,1.99609,0.00195312,0.0498047,0.0498047
152,1.31206e-61,0.140984,4096,2,5.91992,1.99902,0.000976562,0.046875,0.046875
153,1.50915e-61,0.140601,4096,1.99805,5.89941,1.99707,0.000976562,0.0498047,0.0498047
154,1.72442e-61,0.140165,4096,1.99805,5.8877,1.99805,0,0.0458984,0.0458984
155,1.86004e-61,0.139896,4096,1.99707,5.87598,1.99707,0,0.0400391,0.0400391
156,1.89619e-61,0.139832,4096,1.99609,5.87598,1.99609,0,0.0390625,0.0390625
157,1.89986e-61,0.139816,4096,1.99707,5.87988,1.99707,0,0.0507812,0.0507812
158,1.89986e-61,0.139816,4096,1.99414,5.90137,1.99414,0,0.0380859,0.0380859
159,1.89986e-61,0.139816,4096,1.99414,5.88086,1.99316,0.000976562,0.0371094,0.0371094
160,1.898e-61,0.139831,4096,1.99609,5.87598,1.99609,0,0.0302734,0.0302734
161,1.89986e-61,0.139816,4096,1.99512,5.86914,1.99512,0,0.03125,0.03125
162,1.898e-61,0.139822,4096,1.99414,5.85938,1.99414,0,0.0429688,0.0429688
163,1.89986e-61,0.139816,4096,1.99609,5.86914,1.99609,0,0.0410156,0.0410156
164,1.89986e-61,0.139816,4096,1.99805,5.87012,1.99805,0,0.0361328,0.0361328
165,1.898e-61,0.139822,4096,1.99609,5.87305,1.99609,0,0.0390625,0.0390625
